,stop_id,stop_name,images
197,8502223,Hedingen,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Hedingen.jpg
198,8502224,Affoltern am Albis,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Affoltern_am_Albis.jpg
199,8502226,Knonau,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Knonau.jpg
200,8502227,Steinhausen,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Steinhausen.jpg
201,8502229,Urdorf Weihermatt,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Urdorf_Weihermatt.jpg
202,8502230,Zug Chollermüli,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
203,8502231,Zug Oberwil,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Zug_Oberwil.jpg
204,8502237,Lupfig,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Lupfig.jpg
205,8502247,Birr,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Birr.jpg
206,8502306,Hünenberg Chämleten,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
207,8503000,Zürich HB,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
208,8503001,Zürich Altstetten,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
209,8503003,Zürich Stadelhofen,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
210,8503004,Zürich Tiefenbrunnen,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
211,8503006,Zürich Oerlikon,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
212,8503007,Zürich Seebach,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
213,8503008,Zürich Affoltern,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
214,8503009,Zürich Wollishofen,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
215,8503010,Zürich Enge,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
216,8503011,Zürich Wiedikon,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
217,8503015,Zürich Wipkingen,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
218,8503016,Zürich Flughafen,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
219,8503020,Zürich Hardbrücke,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
220,8503100,Zollikon,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Zollikon.jpg
221,8503101,Küsnacht ZH,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
222,8503102,Erlenbach ZH,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Erlenbach_ZH.jpg
223,8503103,Herrliberg-Feldmeilen,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Herrliberg-Feldmeilen.jpg
224,8503104,Meilen,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Meilen.jpg
225,8503105,Uetikon,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Uetikon.jpg
226,8503107,Stäfa,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
227,8503108,Uerikon,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Uerikon.jpg
228,8503109,Feldbach,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Feldbach.jpg
229,8503110,Rapperswil,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Rapperswil.jpg
230,8503111,Winkel am Zürichsee,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
231,8503115,Schmerikon,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Schmerikon.jpg
232,8503116,Uznach,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Uznach.jpg
233,8503120,Jona,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Jona.jpg
234,8503121,Rüti ZH,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
