,stop_id,stop_name,event_name,description,categories,url
557,8503303,Illnau,Wintsch-Tonercote,,['shopping'],https://go.sygic.com/travel/place?id=poi:13564328
558,8503304,Kemptthal,Wintsch-Tonercote,,['shopping'],https://go.sygic.com/travel/place?id=poi:13564328
559,8503305,Effretikon,Tower,,,https://go.sygic.com/travel/place?id=poi:37332332
560,8503305,Effretikon,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:19015127
561,8503305,Effretikon,Wintsch-Tonercote,,['shopping'],https://go.sygic.com/travel/place?id=poi:13564328
562,8503306,Dietlikon,Tower,,,https://go.sygic.com/travel/place?id=poi:37332332
563,8503306,Dietlikon,Coop Pronto Prime Tower,,['shopping'],https://go.sygic.com/travel/place?id=poi:10546192
564,8503306,Dietlikon,Prime Tower,,,https://go.sygic.com/travel/place?id=poi:24578886
565,8503306,Dietlikon,Kieser Training Prime Tower,,['doing_sports'],https://go.sygic.com/travel/place?id=poi:18511323
566,8503306,Dietlikon,Swisscom Tower,,,https://go.sygic.com/travel/place?id=poi:26987747
567,8503306,Dietlikon,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:19015127
568,8503306,Dietlikon,ZKB Prime Tower,,,https://go.sygic.com/travel/place?id=poi:8784267
569,8503306,Dietlikon,Wintsch-Tonercote,,['shopping'],https://go.sygic.com/travel/place?id=poi:13564328
570,8503306,Dietlikon,Parkshaus Prime Tower,,['traveling'],https://go.sygic.com/travel/place?id=poi:7027007
571,8503307,Bassersdorf,Tower,,,https://go.sygic.com/travel/place?id=poi:37332332
572,8503307,Bassersdorf,Swisscom Tower,,,https://go.sygic.com/travel/place?id=poi:26987747
573,8503307,Bassersdorf,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:19015127
574,8503307,Bassersdorf,Wintsch-Tonercote,,['shopping'],https://go.sygic.com/travel/place?id=poi:13564328
575,8503308,Kloten,Tower,,,https://go.sygic.com/travel/place?id=poi:37332332
576,8503308,Kloten,Coop Pronto Prime Tower,,['shopping'],https://go.sygic.com/travel/place?id=poi:10546192
577,8503308,Kloten,Prime Tower,,,https://go.sygic.com/travel/place?id=poi:24578886
578,8503308,Kloten,Kieser Training Prime Tower,,['doing_sports'],https://go.sygic.com/travel/place?id=poi:18511323
579,8503308,Kloten,Swisscom Tower,,,https://go.sygic.com/travel/place?id=poi:26987747
580,8503308,Kloten,ZKB Prime Tower,,,https://go.sygic.com/travel/place?id=poi:8784267
581,8503308,Kloten,Wintsch-Tonercote,,['shopping'],https://go.sygic.com/travel/place?id=poi:13564328
582,8503308,Kloten,Parkshaus Prime Tower,,['traveling'],https://go.sygic.com/travel/place?id=poi:7027007
583,8503310,Glattbrugg,Tower,,,https://go.sygic.com/travel/place?id=poi:37332332
584,8503310,Glattbrugg,Coop Pronto Prime Tower,,['shopping'],https://go.sygic.com/travel/place?id=poi:10546192
585,8503310,Glattbrugg,Prime Tower,,,https://go.sygic.com/travel/place?id=poi:24578886
586,8503310,Glattbrugg,Kieser Training Prime Tower,,['doing_sports'],https://go.sygic.com/travel/place?id=poi:18511323
587,8503310,Glattbrugg,Swisscom Tower,,,https://go.sygic.com/travel/place?id=poi:26987747
588,8503310,Glattbrugg,ZKB Prime Tower,,,https://go.sygic.com/travel/place?id=poi:8784267
589,8503310,Glattbrugg,Wintsch-Tonercote,,['shopping'],https://go.sygic.com/travel/place?id=poi:13564328
590,8503310,Glattbrugg,Parkshaus Prime Tower,,['traveling'],https://go.sygic.com/travel/place?id=poi:7027007
591,8503311,Rümlang,Tower,,,https://go.sygic.com/travel/place?id=poi:37332332
592,8503311,Rümlang,Coop Pronto Prime Tower,,['shopping'],https://go.sygic.com/travel/place?id=poi:10546192
593,8503311,Rümlang,Prime Tower,,,https://go.sygic.com/travel/place?id=poi:24578886
594,8503311,Rümlang,Kieser Training Prime Tower,,['doing_sports'],https://go.sygic.com/travel/place?id=poi:18511323
595,8503311,Rümlang,Swisscom Tower,,,https://go.sygic.com/travel/place?id=poi:26987747
596,8503311,Rümlang,ZKB Prime Tower,,,https://go.sygic.com/travel/place?id=poi:8784267
597,8503311,Rümlang,Wintsch-Tonercote,,['shopping'],https://go.sygic.com/travel/place?id=poi:13564328
598,8503311,Rümlang,Parkshaus Prime Tower,,['traveling'],https://go.sygic.com/travel/place?id=poi:7027007
599,8503312,Oberglatt,Coop Pronto Prime Tower,,['shopping'],https://go.sygic.com/travel/place?id=poi:10546192
600,8503312,Oberglatt,Prime Tower,,,https://go.sygic.com/travel/place?id=poi:24578886
601,8503312,Oberglatt,Kieser Training Prime Tower,,['doing_sports'],https://go.sygic.com/travel/place?id=poi:18511323
602,8503312,Oberglatt,Swisscom Tower,,,https://go.sygic.com/travel/place?id=poi:26987747
603,8503312,Oberglatt,ZKB Prime Tower,,,https://go.sygic.com/travel/place?id=poi:8784267
604,8503312,Oberglatt,Wintsch-Tonercote,,['shopping'],https://go.sygic.com/travel/place?id=poi:13564328
605,8503312,Oberglatt,Parkshaus Prime Tower,,['traveling'],https://go.sygic.com/travel/place?id=poi:7027007
606,8503315,Dielsdorf,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:6531039
607,8503340,Opfikon,Tower,,,https://go.sygic.com/travel/place?id=poi:37332332
608,8503340,Opfikon,Coop Pronto Prime Tower,,['shopping'],https://go.sygic.com/travel/place?id=poi:10546192
609,8503340,Opfikon,Prime Tower,,,https://go.sygic.com/travel/place?id=poi:24578886
610,8503340,Opfikon,Kieser Training Prime Tower,,['doing_sports'],https://go.sygic.com/travel/place?id=poi:18511323
611,8503340,Opfikon,Swisscom Tower,,,https://go.sygic.com/travel/place?id=poi:26987747
612,8503340,Opfikon,ZKB Prime Tower,,,https://go.sygic.com/travel/place?id=poi:8784267
613,8503340,Opfikon,Wintsch-Tonercote,,['shopping'],https://go.sygic.com/travel/place?id=poi:13564328
614,8503340,Opfikon,Parkshaus Prime Tower,,['traveling'],https://go.sygic.com/travel/place?id=poi:7027007
615,8503409,Bad Zurzach,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:19530662
616,8503501,Döttingen,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:19530662
617,8503503,Turgi,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:6531039
618,8503504,Baden,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:6531039
619,8503505,Wettingen,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:6531039
620,8503506,Killwangen-Spreitenbach,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:6531039
621,8503508,Dietikon,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:6531039
622,8503508,Dietikon,Coop Pronto Prime Tower,,['shopping'],https://go.sygic.com/travel/place?id=poi:10546192
623,8503508,Dietikon,Prime Tower,,,https://go.sygic.com/travel/place?id=poi:24578886
624,8503508,Dietikon,Kieser Training Prime Tower,,['doing_sports'],https://go.sygic.com/travel/place?id=poi:18511323
625,8503508,Dietikon,Swisscom Tower,,,https://go.sygic.com/travel/place?id=poi:26987747
626,8503508,Dietikon,ZKB Prime Tower,,,https://go.sygic.com/travel/place?id=poi:8784267
627,8503508,Dietikon,Parkshaus Prime Tower,,['traveling'],https://go.sygic.com/travel/place?id=poi:7027007
628,8503509,Schlieren,Tower,,,https://go.sygic.com/travel/place?id=poi:37332332
629,8503509,Schlieren,Coop Pronto Prime Tower,,['shopping'],https://go.sygic.com/travel/place?id=poi:10546192
630,8503509,Schlieren,Prime Tower,,,https://go.sygic.com/travel/place?id=poi:24578886
631,8503509,Schlieren,Kieser Training Prime Tower,,['doing_sports'],https://go.sygic.com/travel/place?id=poi:18511323
632,8503509,Schlieren,Swisscom Tower,,,https://go.sygic.com/travel/place?id=poi:26987747
